"minute","second","possession","duration","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","shot.statsbomb_xg","shot.saved_off_target","shot.aerial_won","shot.one_on_one","shot.deflected","shot.first_time","shot.redirect","shot.technique.id","shot.technique.name","shot.body_part.id","shot.body_part.name","shot.type.id","shot.type.name","shot.outcome.id","shot.outcome.name","match_id","location_x","location_y"
44,20,75,"1.268845",TRUE,785,"Croatia",8,"From Keeper",785,"Croatia",5460,"Andrej Kramarić",21,"Left Wing","0.013197766",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930160,"86.3","47.4"
45,32,77,"1.396765",TRUE,785,"Croatia",1,"Regular Play",785,"Croatia",5456,"Mateo Kovačić",15,"Left Center Midfield","0.019094488",NA,NA,NA,NA,NA,NA,93,"Normal",40,"Right Foot",87,"Open Play",98,"Off T",3930160,"91","30.4"
46,54,79,"0.385213",NA,772,"Spain",2,"From Corner",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back","0.30100337",NA,NA,NA,NA,TRUE,NA,95,"Volley",40,"Right Foot",87,"Open Play",97,"Goal",3930160,"112.7","42.4"
50,0,96,"0.363681",NA,785,"Croatia",1,"Regular Play",785,"Croatia",33018,"Joško Gvardiol",6,"Left Back","0.018449154",NA,NA,NA,NA,TRUE,NA,91,"Half Volley",38,"Left Foot",87,"Open Play",96,"Blocked",3930160,"101.2","24"
51,45,101,"0.350237",NA,772,"Spain",1,"Regular Play",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing","0.28168085",NA,NA,NA,NA,TRUE,NA,93,"Normal",38,"Left Foot",87,"Open Play",100,"Saved",3930160,"108.6","48.3"
53,1,103,"0.357361",NA,772,"Spain",2,"From Corner",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward","0.2103611",NA,NA,NA,NA,NA,NA,93,"Normal",70,"Other",87,"Open Play",101,"Wayward",3930160,"117.4","34.5"
54,30,105,"0.19712",NA,785,"Croatia",3,"From Free Kick",785,"Croatia",49337,"Josip Stanišić",2,"Right Back","0.22294979",NA,NA,NA,NA,TRUE,NA,93,"Normal",40,"Right Foot",87,"Open Play",96,"Blocked",3930160,"111.9","47.8"
54,32,105,"0.451065",TRUE,785,"Croatia",3,"From Free Kick",785,"Croatia",8654,"Ante Budimir",23,"Center Forward","0.20600665",NA,TRUE,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",96,"Blocked",3930160,"117","37"
54,33,105,"0.026969",NA,785,"Croatia",3,"From Free Kick",785,"Croatia",5460,"Andrej Kramarić",21,"Left Wing","0.71037304",NA,NA,NA,NA,NA,TRUE,93,"Normal",37,"Head",87,"Open Play",100,"Saved",3930160,"118.4","40"
54,34,105,"1.277159",NA,785,"Croatia",3,"From Free Kick",785,"Croatia",5456,"Mateo Kovačić",15,"Left Center Midfield","0.099854395",NA,NA,NA,NA,NA,NA,93,"Normal",37,"Head",87,"Open Play",101,"Wayward",3930160,"115.1","34.4"
