"minute","second","possession","under_pressure","possession_team.id","possession_team.name","play_pattern.id","play_pattern.name","team.id","team.name","player.id","player.name","position.id","position.name","dribble.nutmeg","dribble.no_touch","dribble.outcome.id","dribble.outcome.name","match_id","dribble.overrun","location_x","location_y"
26,42,43,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",NA,NA,9,"Incomplete",3943043,NA,"76.9","74"
28,49,47,TRUE,772,"Spain",4,"From Throw In",772,"Spain",6655,"Fabián Ruiz Peña",11,"Left Defensive Midfield",NA,NA,8,"Complete",3943043,NA,"14.2","74.4"
35,54,58,TRUE,772,"Spain",2,"From Corner",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",NA,NA,8,"Complete",3943043,NA,"103.8","6.2"
37,38,60,TRUE,772,"Spain",1,"Regular Play",768,"England",30714,"Jude Bellingham",21,"Left Wing",TRUE,NA,8,"Complete",3943043,NA,"32.8","19.6"
38,50,62,TRUE,772,"Spain",1,"Regular Play",772,"Spain",68574,"Nicholas Williams Arthuer",21,"Left Wing",TRUE,NA,9,"Incomplete",3943043,NA,"69","5.3"
42,22,69,TRUE,772,"Spain",1,"Regular Play",772,"Spain",3477,"Álvaro Borja Morata Martín",23,"Center Forward",NA,NA,9,"Incomplete",3943043,NA,"110.6","26.5"
43,8,71,TRUE,768,"England",1,"Regular Play",768,"England",99174,"Kobbie Mainoo",9,"Right Defensive Midfield",NA,NA,9,"Incomplete",3943043,NA,"3.3","3.7"
49,17,85,TRUE,772,"Spain",1,"Regular Play",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",NA,NA,8,"Complete",3943043,NA,"52.6","70.3"
54,4,91,TRUE,772,"Spain",3,"From Free Kick",772,"Spain",5721,"Daniel Carvajal Ramos",2,"Right Back",NA,NA,9,"Incomplete",3943043,NA,"72","74.1"
57,9,95,TRUE,772,"Spain",4,"From Throw In",772,"Spain",316046,"Lamine Yamal Nasraoui Ebana",17,"Right Wing",TRUE,NA,9,"Incomplete",3943043,NA,"73.4","73.6"
59,42,98,TRUE,768,"England",1,"Regular Play",768,"England",99174,"Kobbie Mainoo",9,"Right Defensive Midfield",NA,NA,9,"Incomplete",3943043,TRUE,"93.1","69.1"
